,input,output
1663,((s∧(q→q))((¬q)∧p))⊢((s∧(q→q))→((¬q)∧p)),(q→(q→q))((¬s)∧s)(((→(s→s))∧((¬p)∧s))
1664,(((s∧p)∧q)p)⊢s,((s∧p)∧p)p(p∧p)p
1665,(p(s∧p))⊢((s∧p)∨t),p(s∧t)((∨(t∧∨))((∧)∨)
1666,((s∧p)(s→p))⊢(s∨((s∧p)∨q)),(q∧p)(s∧p)((s∧p)∨p)(p∨((s∧p)∨p))
1667,(q(p∧q))⊢((p∧q)∨t),p(s∧t)((∨()∧∨))((∧)∨)
1668,((p∧p)t)⊢(p∨p),(s∧s)q((∨∨))
1669,((r→q)(t∧s))⊢((t∧s)∨t),(s→s)(s∧s)((∨∧s)∨))((∧)∨)
1670,((t∨(r∧t))s)⊢(s∨p),(s∨(p∧p))s((∨∨)∧)
1671,(r((p∨s)→r))⊢(((p∨s)→r)∧(((p∨s)→r)∨t)),p((q∨t)→s)(((s(s)∨))∨t)(((s→r)∨q)→(((s→p)∨p)∨p))
1672,((¬s)(q∧q))⊢((q∧q)→((q∧q)∨s)),(¬p)(p∧p)((s∧s)∨t)((s∧p)∧((s∧p)∨s))
1673,(((p∨q)→q)(q∧s))⊢(r∨(q∧s)),((q∨p)∨q)(s∧q)((∨∨(∧∧)))
1674,((q∨r)(q∧q))⊢((q∧q)→q),(q∨q)(p∧s)q((p∧q)→q)
1675,((t∨t)s)⊢(p∨(t∨t)),(t∨p)p(p∨()(t∨((∨∨))
1676,((r→r)(s∧r))⊢((s∧r)→r),(s→s)(s∧t)t((t∧t)→q)
1677,((s∨(p→p))(p→t))⊢(q∨(p→t)),(s∨(p→q))(p→s)((∨((→∨)))())
1678,((s→r)s)⊢(q∨(s→r)),(q→s)p((∨→))∨))(∨(→))
1679,((q∧t)((t∨p)∨s))⊢(q∧t),(q∧p)((p→t)∨t)((r∧p)∧((s∧q)→p))(s∧p)
1680,((q∧r)r)⊢((p∨r)∨s),(q∧s)q(t∨p)((t∨t)∨s)
1681,((t→s)(p∧q))⊢((p∧q)∧p),(s→s)(s∧t)t((p∧p)∧p)
1682,((t∧p)(¬t))⊢(r∨(t∧p)),(s∧q)(¬p)((∨((∧∧)))(
1683,((s→q)s)⊢(q∨(s→q)),(q→p)p((∨→))∨))(∨(→))
1684,((r∨(¬p))p)⊢((r∨(¬p))∧p),(q∨(¬p))s((s∨(¬p))∧q)
1685,((t∧t)s)⊢(q∨s),(s∧s)q((∨∨))
1686,(s(r∨q))⊢(p∨(r∨q)),q(s∨r)(t∨()(t∨((∨∨))
1687,((q∨r)(r→t))⊢(r∨(r→t)),(q∨s)(p→p)((∨(s→∨))(p∨(t→p))
1688,((q∨t)((¬q)∨q))⊢(q∨t),(s∨q)((¬r)∨t)((s→r)∧((¬()→s))(s∨p)
1689,((r∧q)s)⊢((r∧q)∧s),(p∧s)qt((r∧t)∧s)
1690,((p∨t)p)⊢((p∨r)∨s),(t∨q)q((∨∨)((t∨)∨∨)
1691,(r(¬p))⊢(r∨t),s(¬s)(s∨(¬))
1692,(((s∧q)∧p)p)⊢(p∨s),((s∧p)∧p)p((∨∨)))
1693,((p∨(p→q))r)⊢(r∧(r∨t)),(t∨(p→q))s(s∨p)(s∧(p∨s))
1694,(p(r∧(t∧q)))⊢(p→r),q(r∧(p∧p))s(q→r)
1695,((q∧r)(p∨r))⊢(r∨(q∧r)),(q∧p)(p∨p)((∨(p∧∧))(∨(∧))
1696,((p→(r→r))q)⊢((p→(r→r))∨t),(t→(p→s))s((∨→(r→s))∨s)((→(→))∨)
1697,((r→q)((s→t)∧p))⊢((r→q)∨t),(q→p)((p→t)∧t)((∨→)((r)))
1698,(((t∨p)∨s)p)⊢(p→(r∨p)),((q∨p)∨s)s(t∨s)(t→(t∨p))
1699,(((r→q)→s)(r∨q))⊢((r∨q)∧((r∨q)∨p)),((t→t)∨q)(q∨p)((s∨p)∨s)((p→r)→((p∨r)∨r))
1700,(r(p∧(q∨q)))⊢(s∨r),r(r∧(p∨s))((∨∨))
1701,((s∧r)q)⊢(q∧(q∨r)),(s∧s)p(p∨p)(q∧(t∨p))
1702,((t→r)(t∧t))⊢((t→r)→((t→r)∨p)),(q→r)(s→p)((p→p)∨s)((s→p)∧((s→s)∨s))
1703,((¬q)(t∧p))⊢((¬q)∧((¬q)→(t∧p))),(¬p)(s∧s)((¬s)→(¬∨s))((¬s)∧((¬q)∧(¬))))
1704,(((q∧p)∧s)((t∧s)∧q))⊢(((t∧s)∧q)∨s),((p∧t)∧q)((p∧q)∧t)((((∧((∧∧∧)∨))(∧
1705,((r→s)(t∧(¬r)))⊢((r→s)→((r→s)∨s)),(s→q)(t∨(¬q))((s→p)∨r)((r∧p)→((p∧p)∨s))
1706,(t(p→(t∧s)))⊢((p→(t∧s))∨q),q(s→(p∧p))(r∧((((r∧))))((∨(∧)
1707,((t∧s)t)⊢(t∨p),(t∧s)q((∨∨))
1708,(r(t∨p))⊢(t∨p),q(s∨r)(r∧()∨))(∨)
1709,((q→s)(r∨(p∧q)))⊢((q→s)∨s),(s→p)(s→(r∧p))((∨→r)∨t)((t→)∨)
1710,((q∨t)((q∨s)∧r))⊢((q∨t)∨r),(q∨p)((p→t)∧s)((∨∨)((∨)))
1711,(p(t∧s))⊢(p∧s),q(s∧p)r(∧∧r)
1712,((p→r)(r∧p))⊢((p→r)∧(r∧p)),(s→s)(p∧t)((t→p)∧(t∧p))
1713,((t∧s)(¬p))⊢((t∧s)∧t),(p∧q)(¬q)s((p∧q)∧q)
1714,((¬t)(s∧(¬t)))⊢((¬t)∨p),(¬s)(s∧(¬q))(¬s)((¬))∨)
1715,((¬p)((s→t)∧r))⊢(q∨(s→t)),(¬p)((s→s)∧s)(s∧s)((∨(r∧s))
1716,(p((t∧q)→s))⊢(s∨p),q((s∧t)→s)(s∨()(∧∨))
1717,((p∧r)r)⊢(t∨(p∧r)),(p∧s)t((∨((∧∧))(∨())
1718,((q∨(s∧p))s)⊢(s∨r),(s∨(r∧p))s((∨∨)∧)
1719,(s((¬s)∧p))⊢((¬s)∨p),q((¬s)∧p)(¬q)((¬p)∨s)
1720,((t∧(s∧r))(q∨q))⊢(t∨(s∧r)),(r∧(p→q))(p→s)((∨((∧p)))
1721,((t→p)q)⊢(r∨q),(s→s)q((∨→))∨))
1722,(((s→t)∨q)p)⊢(p∨((s→t)∨q)),((t→t)∨s)s(((((r)∨))→))(∨((→)∨))
1723,(s(r∧(p→p)))⊢r,q(r∧(p→p))(q∧(q∧(q→q)))q
1724,((s∨t)s)⊢((t∨s)∨s),(t∨q)q((∨∨)((t∨)∨∨)
1725,(((p∧s)∧t)(q→r))⊢t,((s∧t)∧p)(q∧p)p
1726,((¬s)((t→p)→q))⊢(t∨((t→p)→q)),(¬p)((s→t)→t)((∨((s)()∧∨)))
1727,((r∧r)(t∨p))⊢((t∨p)∧r),(q∧p)(t∨s)p((t∨p)∧q)
1728,((p→p)p)⊢(s∨p),(s→s)s((∨r))))
1729,(t((p∧t)∨s))⊢(t→(t∨t)),p((p∧t)∨s)(s∨s)(t→(t∨q))
1730,((r→t)r)⊢((r→t)∧r),(s→s)s((t→r)∧s)
1731,((¬r)(t∧q))⊢(r∨(t∧q)),(¬p)(p∧t)((∨((∧∧)))
1732,(p(p→s))⊢(p∧(t∨p)),t(s→p)(t∨p)(q∧(t∨p))
1733,(((q∨q)∨t)t)⊢(((q∨q)∨t)∨t),((q∨p)∨s)s(((t∨r)∨q)∨))(((q∨)∨)∨)
1734,(((q∨s)→q)p)⊢((q∨p)∨s),((q∨t)→p)s(s∨s)((p∨t)∨s)
1735,((t∨(p→p))s)⊢(t∨(r∨s)),(t∨(p→q))s(t∨s)(t∨(p∨s))
1736,(t(r→t))⊢(((r→t)∨r)∨r),t(t→s)((p→p)∨r)(((t→t)∨t)∨t)
1737,(t(q∨s))⊢(q∨s),q(s∨r)(r∧()∨))(∨)
1738,(t((r∨r)∧q))⊢(q∨r),q((q∨p)∧p)((∨∨)
1739,((s∨r)(¬t))⊢(r∨(q∨(s∨r))),(s∨q)(¬p)(s∨(p∨r))(s∨(p∨(p∨p)))
1740,((p∧(p∧r))s)⊢(p∨s),(r∧(p∧t))s((∨∨))
1741,((r∧r)r)⊢((p∨r)∨q),(r∧s)q(t∨p)((t∨t)∨q)
1742,(s(p∧p))⊢((p∧p)∨q),p(s∧t)((∨()∧∨))((∧)∨)
1743,(t((q∨q)∨t))⊢(((q∨q)∨t)∨p),p((s∨p)∨s)(s∨((p∨()∨∨))(((r∨)∨)∨)
1744,((s∧(r→s))r)⊢((q∨r)∨t),(r∧(p→s))s(t∨s)((q∨p)∨s)
1745,((t∨p)p)⊢((t∨p)∧p),(p∨p)s((t∨p)∧p)
1746,((¬p)(q∧(r∨q)))⊢(r∨(p∨(¬p))),(¬s)(s→(r∧s))(q∨(¬s))(q∨(s∨(¬p)))
1747,(((r∧r)→s)t)⊢((r∧r)→s),((s∧p)→p)s(((t∧r)∧q)∧s)((s∧p)→q)
1748,(((p∧r)∨q)s)⊢(s∧(s∨t)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
1749,((t∧r)(¬s))⊢(r∨(t∧r)),(s∧q)(¬p)((∨((∧∧)))(
1750,((s→t)(¬t))⊢(((¬t)∨q)∨s),(s→q)(¬p)((¬p)∨p)(((¬p)∨p)∨p)
1751,((¬q)r)⊢(r∨t),(¬p)p((∨p)
1752,((r∧(s→t))(s→p))⊢(t∨(r∧(s→t))),(q∧(p→q))(p→s)((∨(s∧()∧()∨(()))
1753,(r(p→q))⊢r,q(r→r)(q∧(r→s))q
1754,((s∨t)(¬q))⊢((¬q)→((s∨t)→(¬q))),(s∨q)(¬p)((s∨s)((¬p))((¬q)→((¬∨))→(¬))))
1755,((t∨p)(t→t))⊢((t→t)→((t→t)∨s)),(q∨r)(s→p)((p→p)∨s)((s→p)∧((s→p)∨s))
1756,((r∨q)s)⊢(r∨s),(s∨p)p((∨∨))∨))
1757,((t∨(t→t))p)⊢(t∨(r∨p)),(t∨(p→q))s(t∨s)(t∨(q∨s))
1758,(r(t∧(r∧r)))⊢((t∧(r∧r))→t),q(r∧(p∧p))q((r∧(r∧p))→q)
1759,((q∨t)r)⊢(q∨r),(s∨p)p((∨∨))))
1760,(r(t∨t))⊢(t∨r),q(s∨r)(r∧()∨))(∨)
1761,(((s∨q)∧r)(¬s))⊢((p∨(¬s))∨q),((s∨q)∧q)(¬s)((∨(¬q))((∨∨(¬s))∨s)
1762,((q→p)((p∧p)∨r))⊢((q→p)∧((p∧p)∨r)),(q→p)((p∧t)∨t)((s→p)∨r)((r→r)→((p→p)∨s))
1763,((t∧p)(s∨q))⊢(q∨(s∨q)),(q∧p)(p∨s)((∨(p)∨))(∨(∨))
1764,((t→t)p)⊢((p∨q)∨q),(q→s)p(t∨s)((t∨t)∨s)
1765,(((p→q)∧t)t)⊢(t∧(s∨t)),((t→t)∧t)s(s∨q)(q∧(q∨p))
1766,((p∧p)(q∧q))⊢((p∧p)∧q),(r∧q)(s∧t)t((p∧p)∧q)
1767,((t∨p)((t∧t)→q))⊢(t∨p),(q∨p)((s→t)→t)((s→p)∧((q→q)→p))(s→r)
1768,(((t∧t)∨s)t)⊢t,((s∧p)∨q)s(((p∧r)∨q)∧p)s
1769,(t((q→q)→t))⊢(p∨((q→q)→t)),p((s→p)→s)(s∨((s→t)→q))(→∨((→)→))
1770,(((r∨q)∧t)q)⊢(q→(r∨q)),((q∨p)∧t)s(t∨t)(q→(q∨q))
1771,(((q∨q)→r)r)⊢(((q∨q)→r)∧r),((q∨p)→q)s(((t∨q)→t)∧p)
1772,(p(s∨(r∧r)))⊢(q∨(s∨(r∧r))),q(s∨(r∧p))(r∨(r∨(∨∧t)))(t∨()()
1773,((s→p)(s∧(¬q)))⊢p,(s∧q)(t∧(¬t))s
1774,((¬q)(t∨r))⊢((¬q)→(t∨r)),(¬p)(p∨p)((¬s)→(p∨s))
1775,((t∧r)t)⊢(s∨t),(s∧q)q((∨∨))
1776,(q(s∨q))⊢(p∨q),q(s∨r)(r∧()∨))(∨)
1777,(r((q∨q)→r))⊢(r→(r→((q∨q)→r))),q((q∨p)∧s)(q→((s∨t)→r))(s∧(s→((p∨q)∧p)))
1778,((s→(s∧q))s)⊢(s∧q),(s→(p∧q))s((∧∧))
1779,(s(s→(r∨p)))⊢(s∨q),r(t→(p∨s))(s∨()(∨)
1780,(q(s∧t))⊢((s∧t)∨p),p(s∧t)((∨(t∧∨))((∧)∨)
1781,(t(r∧q))⊢((r∧q)∧r),p(s∧t)t((t∧q)∧p)
1782,((t∨p)((t∧t)→q))⊢((t∨p)∨t),(q∨p)((s→t)→t)((∨∨p)∨()())))
1783,(t(s∨(t∧p)))⊢((s∨(t∧p))∨p),r(s∨(r∧p))(r∧()∨(q∧))))((r∨(∧))∨)
1784,((r∨(q∨q))(q∨p))⊢((r∨(q∨q))∨p),(s∨(p∨q))(p∨s)((∨∨(∨∨))((t∨(∨s))∨s)
1785,(p(r∧t))⊢(p∨s),q(s∧p)((∨∨))
1786,((s∧q)s)⊢(s∨q),(s∧s)q((∨∨))
1787,(q(r∨(q∧q)))⊢((q∨s)∨s),r(s∨(r∧p))(q∨p)((q∨p)∨s)
1788,(q(t→(p∨q)))⊢(t→(p∨q)),r(t→(p∨s))(s∨()(r→(t∨)))
1789,(t(q∧(r∧t)))⊢((q∧(r∧t))∧q),q(r∧(p∧p))t((r∧(r∧p))∧q)
1790,((¬t)q)⊢((¬t)∧(q∨p)),(¬p)p(t∨s)((¬q)∧(q∨p)))
1791,((p∧r)t)⊢r,(t∧q)q(
1792,((s∨r)(q∧(¬q)))⊢((s∨r)∨s),(s∨q)(t∧(¬q))((s∨((∨)))())
1793,((r∨p)((s→q)→p))⊢((r∨p)→(t∨(r∨p))),(q∨p)((p→t)∨t)(t∨(p∨r))((p∨p)∧(t∨(p∨p)))
1794,((s∨q)(s∧r))⊢((s∧r)∨q),(q∨s)(p∧s)((∨∨p)∨))((∧)∨)
1795,((s∧p)((s∨t)→s))⊢(p∨p),(q∧p)((p→t)→t)r(q∨p)
1796,(q(s→t))⊢((s→t)∨p),t(s→r)(t∨()→())((∨→))∨)
1797,((s∧(r→s))q)⊢(q∨t),(r∧(p→q))s((∨∨))
1798,((t∨p)(¬p))⊢((¬p)∨s),(s∨q)(¬p)((¬())∨))((¬))∨)
1799,((r→s)(q∧q))⊢(t∨(q∧q)),(s→s)(s∧p)((∨(s∧∧))(∨(∧))
1800,((t∧(s∨t))p)⊢(p∨q),(r∧(p∨q))s((∨∨))
1801,((q∨q)(p∧t))⊢((q∨q)→(p∨(q∨q))),(q∨r)(p∨p)(t∨(s∨s))((t∨s)∧(t∨(p∨s)))
1802,(r(s→r))⊢((t∨r)∨s),t(s→p)(t∨p)((t∨t)∨s)
1803,(s((p→q)→r))⊢(s∨p),q((q→p)→r)(s∨()(→∨))
1804,(r(s∧q))⊢(s∨r),q(s∧p)((∨∨))
1805,(s((t→s)∧q))⊢(s∧(q∨s)),q((s→p)∧p)(t∨p)(q∧(q∨p))
1806,(t(p∨r))⊢(t∨s),q(s∨r)(r∧()∨))(∨)
1807,(((s→t)∧q)(s→q))⊢(((s→t)∧q)∨p),((q→t)∧q)(p∧q)((((∧))∧))(()∧)))
1808,(p(t∨r))⊢(p∨t),q(s∨r)(r∧()∨))(∨)
1809,(q(p∧r))⊢((p∧r)∨t),p(s∧t)((∨(t∧∨))((∧)∨)
1810,((p∧q)q)⊢((p∧q)∨t),(s∧s)q((t∧p)∨r)(()∨
1811,((s∧r)(p∨r))⊢((s∧r)∨p),(q∧p)(p∨p)((∨∧p)∨))((∧)∨)
1812,(s((¬t)∨s))⊢s,q((¬r)∨t)(r∧((¬p)∨p))s
1813,(t((¬r)→p))⊢(s∨(t∨t)),q((¬r)→s)(q∨p)(t∨(p∨q))
1814,(((t→r)∧q)r)⊢q,((t→t)∧p)p(((t→p)∧p)∧p)s
1815,(r(s∨t))⊢(p∨r),q(s∨r)(r∧()∨))(∨)
1816,((t∨t)q)⊢(r∨(t∨t)),(t∨q)p(p∨()(t∨((∨∨))
1817,((¬r)(p∨q))⊢((p∨q)→((¬r)∧(p∨q))),(¬p)(s∨s)((¬r)→(q∨s))((s∨))∧((¬()→())))))
1818,((t∨(t∨s))p)⊢(t∨(r∨p)),(t∨(p∨s))s((∨∨)(∨∨()∨s))
1819,((s→q)q)⊢(t∨q),(s→s)q((∨→))∨))
1820,((q∧q)(p∧t))⊢(t∨(p∧t)),(q∧q)(s∧p)((∨(p∧∧))(∨(∧))
1821,(((q∨r)∨t)q)⊢(((q∨r)∨t)∧(((q∨r)∨t)∨q)),((q∨p)∧q)s(((s∨s)∨t)→t)(((s→r)∨q)∧(((q∨p)∨p)∨p))
1822,((r→r)p)⊢(p∨p),(s→s)s((∨→))∨))
1823,((t∨(p∧r))r)⊢(r∨p),(s∨(p∧p))s((∨∨)∧)
1824,((q→(t→r))(r∧s))⊢(q→(t→r)),(s→(p→q))(p∧s)((s→(p∧s))∧(p∧p))(s∧(p→p))
1825,((s∧p)(r∧q))⊢((r∧q)∨p),(q∧q)(s∧s)((∨∧p)∨))((∧)∨)
1826,((p∨t)s)⊢(s∨r),(s∨p)p((∨∨))∨))
1827,((q∧q)(p∧t))⊢((p∧t)→q),(r∧q)(s∧t)q((p∧q)→q)
1828,(p(r∨s))⊢(p∨t),q(s∨r)(r∧()∨))(∨)
1829,(((t∨p)∨s)p)⊢(((t∨p)∨s)∨s),((q∨p)∨s)s(((t∨p)∨q)∨))(((q∨)∨)∨)
1830,(r(p∧(q∨q)))⊢(r∨p),p(r∧(p∨s))((∨∨))
1831,((p∧q)(p∨q))⊢(p∨(p∨q)),(q∧p)(p∨s)((∨(p)∨))(∨(∨))
1832,((p∧r)((q∨t)∧t))⊢(q∨((q∨t)∧t)),(q∧p)((p∨t)∧t)((∨(((∨∨))∧)))
1833,(((t→q)∧p)((q→p)∨t))⊢(q∨((q→p)∨t)),((t→t)∧q)((p→t)→t)((∨((r→→)→p))(∨((r→)→))
1834,(s(t∧(t∨t)))⊢(s∨q),p(r∧(p∨s))((∨∨))
1835,(((q∨s)∧q)r)⊢(s∨((q∨s)∧q)),((q∨p)∧p)s((∨r)(r∨)(∧)))∧))
1836,(s((t→t)∧r))⊢((t→t)∨r),q((q→t)∧t)(t→t)((q→t)∨q)
1837,(((r∨p)∨t)s)⊢(q∨((r∨p)∨t)),((q∨p)∨s)s((∨((r∨∨))∨))(∨((∨)∨))
1838,((p∨(r∧q))((p→r)→r))⊢((p→r)→r),(s∨(p→q))((p→s)→s)((s→(p∧s))∧((p∧p)∨p))((∨(p)∨))
1839,((r∧(p∧p))r)⊢(r→r),(r∧(p∧q))s((q→))
1840,((t∧p)(s∨q))⊢p,(p∧p)(t∨s)s
1841,(t(s∧q))⊢((s∨t)∨q),t(s∧p)(t∨p)((p∨q)∨q)
1842,((¬q)(p∨s))⊢((p∨s)∨q),(¬p)(s∨s)((∨∨))∨))((s∨)∨p)
1843,(r(s∨t))⊢(r∧(r∨r)),t(s∨r)(t∨p)(r∧(q∨p))
1844,((t∧q)(t∨s))⊢(r∨(t∨s)),(q∧p)(p∨p)((∨(p)∨))(∨(∨))
1845,((r→q)((s→t)∧p))⊢((r→q)∧((s→t)∧p)),(q→p)((p→t)→t)((s→r)∧((p→s)→s))
1846,(s(p→(q∧p)))⊢(s→(r∨s)),q(r→(q∧p))(p∨p)(q→(q∨q))
1847,((¬s)(s∧q))⊢((¬s)∧q),(¬p)(p∧t)q((¬p)∧p)
1848,((t→p)q)⊢(p∨(t→p)),(q→p)p((∨→))∨))(∨(→))
1849,((p∨s)s)⊢((p∨s)∨p),(t∨q)q((∨∨)((t∨()∨∨)
1850,((p∧t)s)⊢(s→p),(r∧q)qt(t→q)
1851,(((p∨p)∧r)p)⊢(p∨q),((q∨p)∧t)s((∨∨))
1852,((t→q)r)⊢r,(r→r)q((t→r)∧p)s
1853,(((s∧p)→q)(r∨p))⊢((r∨p)→((r∨p)∨q)),((s∧p)→q)(q∨p)((s∨p)∨s)((p→r)→((p∨p)∨r))
1854,((p∨p)(¬p))⊢(s∨(¬p)),(s∨q)(¬p)((∨(¬)))((∨∨¬))
1855,((s∧p)p)⊢(p∨r),(s∧s)q((∨∨))
1856,((q∧(s→t))(q∨t))⊢((q∧(s→t))∨s),(r→(p→q))(p→s)((s→()∧s))((→())∨)
1857,((t→(t→s))r)⊢(r∨p),(t→(p→s))s((∨→)(→∨))
1858,(t(t∨r))⊢(r∨(t∨r)),t(s∨r)(t∨()(t∨((∨∨))
1859,((t∧(p→p))(q∧q))⊢((q∧q)∨p),(q∧(p∧q))(s∧q)(((∧∧))∨))∧
1860,(((t∧q)∨r)(¬s))⊢(p∨(r∨(¬s))),((s∧s)∨q)(¬s)((∨(¬s))(s∨(s∨(¬r)))
1861,(((r∧s)∨t)r)⊢((r∨t)∨q),((s∧p)∨q)s(s∨s)((s∨t)∨s)
1862,((p→(t→r))p)⊢(p∨r),(t→(p→s))s((∨→)(→∨))
1863,(((s∧s)∨q)r)⊢(p∨(s∨r)),((s∧p)∨q)s(s∨s)(t∨(s∨s))
1864,(s(p→r))⊢(s∨r),q(s→p)(t∨()→))(∨)
1865,(t(t→q))⊢(t→q),q(r→p)(r∧(r→s))(t→p)
1866,(((r→r)→r)(r→(r∧r)))⊢(((r→r)→r)→(r→(r∧r))),((p→t)∧q)(q→(t→s))(((s→r)→s)∧(s→(r→s)))
1867,((p→s)r)⊢(r∨t),(s→s)p((∨→))∨))
1868,(t(p→(¬t)))⊢(t∨r),q(s→(¬q))(r∨()((¬)
1869,((t∧(q→s))((q∨r)∨t))⊢(q∨(t∧(q→s))),(r→(p∧q))((p∧t)∧s)((∨((→(()))))(∨()
1870,(((r→r)∧s)t)⊢(t→(r→r)),((t→t)∧t)s(q→t)(t→(s→t))
1871,(((s∨q)∨r)(q∧r))⊢((q∧r)∨t),((q∨p)∨q)(t∧p)(((∧∧q)∨))∧
1872,((p→q)t)⊢((p→q)→(q∨(p→q))),(t→s)p(p∨(p→p))((t→s)∧(t∨(t→s)))
1873,(s(p∧(p∨p)))⊢(s∨s),p(r∧(p∨s))((∨∨))
1874,((p∧s)(¬q))⊢((p∧s)∨p),(s∧q)(¬p)(((∧∧))∨))
1875,((q∨p)(q→s))⊢((q∨p)∨p),(q∨s)(p→p)((∨∨p)∨))((r∨p)∨p)
1876,(s(r∧(p∨p)))⊢((r∧(p∨p))∧(p∨p)),p(t∧(p∨q))(r∨r)((s∧(p→p))→(t∨s))
1877,((r∧(q→q))((r→s)∧r))⊢(t∨((r→s)∧r)),(r→(p∧q))((p∧s)∧s)((∨(((∧()))))((∧)
1878,(t(s∧(p∨r)))⊢(t∨r),p(r∧(p∨s))((∨∨))
1879,((s∧p)(q∧r))⊢((q∧r)∨q),(q∧q)(s∧s)((∨∧p)∨))((∧)∨)
1880,(pt)⊢(p→t),qq(t→q)
1881,((r∧(p→t))(r∨r))⊢((r∨r)→r),(r→(p∧q))(p∧s)q((p∧p)→p)
1882,(t(q∨t))⊢((t∨r)∨q),t(s∨r)((∨∨)((r∨()∨∨)
1883,((¬r)((s∧s)∧r))⊢(p∨((s∧s)∧r)),(¬p)((s∧t)∧s)((∨()((()∧∧)))
1884,((t∧(s∨p))(¬s))⊢t,(q∧(q→s))(¬p))
1885,((t∧r)(q→(¬q)))⊢((t∧r)→t),(s∧q)(t∧(¬q))s((r∧r)→t)
1886,((t→(s∧q))(q∧(s→s)))⊢((t→(s∧q))→((t→(s∧q))∧(q∧(s→s)))),((s∨q)∧q)((→(r→→))→((→→r)→)))→((→→r)→)))→((→→r)→)))→((→→r)→))))))→→r→→))
1887,((s→r)s)⊢(s∧r),(s→s)s((s∧r)
1888,(q(¬t))⊢((¬t)∨r),r(¬s)((¬()∨))¬)
1889,(((s∨p)∧t)(q∧(s→t)))⊢(q∨(q∧(s→t))),((q∨p)∨q)(q→(t∧s))((∨((((()))))(()
1890,(r(r∧(p∧p)))⊢((r∧(p∧p))→r),q(r∧(p∧p))q((r∧(r∧p))→q)
1891,(t((r→p)∧t))⊢(t→t),q((q→p)∧p)t(q→p)
1892,(p((t∧q)→s))⊢(p∧((t∧q)→s)),q((s∧p)→s)(q→((p∧p)→p))
1893,((p→r)(r∧p))⊢((p→r)∧((p→r)∨p)),(q→r)(s→p)((p→p)∨t)((s→p)∧((s→s)∨s))
1894,(t(t→(¬p)))⊢(t∨r),q(s→(¬q))(r∨()((¬)
1895,(((q→r)∨t)s)⊢(((q→r)∨t)∨q),((t→t)∨s)s(((t→(((t)∨))(((r→)∨)∨)
1896,(r((p∨t)∨s))⊢((r∨q)∨p),p((s∨p)∨s)(s∨()((t∨∨)∨))
1897,(t((p∧t)→q))⊢(t∧(t∨t)),q((s∧p)→s)(q∨p)(q∧(q∨p))
1898,(p(s∨s))⊢(q∨p),q(s∨r)(r∧()∨))(∨)
1899,(t(s→p))⊢(s∨(t∨q)),t(s→p)(t∨p)(t∨(q∨q))
1900,(((¬p)∨r)r)⊢(r∧(q∨r)),((¬r)∨q)s(s∨q)(q∧(t∨p))
1901,((p→q)t)⊢(s∨t),(s→s)q((∨r))∨))
1902,(r(r∨(r→t)))⊢(r→(r∨s)),r(s∨(p→q))(p∨r)(r→(q∨p))
1903,((¬q)q)⊢(q∨s),(¬p)p((∨p)
1904,((r∧p)q)⊢(s∨(r∧p)),(p∧s)t((∨(p∧∧))(∨()
1905,(p(r∧(t∧q)))⊢(r∧(t∧q)),q(r∧(p∧p))(q∧()∧(∧∧s∧)))))
1906,((r→p)(t∨q))⊢((r→p)∨r),(q→s)(p∨p)((∨→p)∨))((r→p)∨→)
1907,(q(s∧r))⊢((s∧r)∧((s∧r)∨s)),p(t∧p)((p∧p)∨q)((s∧p)∧((s∧q)∨t))
1908,(q(s∨t))⊢(q∧(q∨q)),t(q∨r)(t∨p)(r∧(t∨p))
1909,((r∨r)(s→(p∧t)))⊢(r∨r),(s∨p)(s→(r∧p))((s∨p)∧(r→(r→p)))(s∨p)
1910,(q(q∧q))⊢(q∨(q∨q)),t(s∧p)(p∨p)(t∨(q∨q))
1911,((¬p)((q→q)∧r))⊢(((q→q)∧r)∧(t∨((q→q)∧r))),(¬p)((s∧s)∧p)((∨(((((∨→)))(()∧((∧())(((())∧))))))))
1912,(p(t→(s∧s)))⊢(p∧(t∨p)),q(r→(q∧p))(q∨r)(q∧(q∨p))
1913,(q(s∧(p∧r)))⊢(r∨q),q(r∧(p∧p))((∨∨))
1914,(t(s→r))⊢((s∨t)∨p),t(s→p)(t∨p)((t∨q)∨s)
1915,((s∨t)(r∨s))⊢((s∨t)∨t),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
1916,(r(s∧p))⊢((s∧p)∧s),p(s∧t)s((t∧q)∧p)
1917,(t((t∨t)→p))⊢(t∨t),q((q∨p)→r)(s∨()(∨))
1918,(r(p∧(r∨s)))⊢((r∨s)∨t),p(r∧(p∨s))(s∨p)((q∨q)∨s)
1919,(q((p→s)∧s))⊢((p→s)∨t),q((q→t)∧t)(t→t)((q→t)∨q)
1920,((r∧q)(t∨r))⊢(t∨((r∧q)∨p)),(q∧p)(s∨p)((p∧p)∨p)(p∨((s∧p)∨p))
1921,((t→q)t)⊢q,(r→s)s((t→r)∧p)s
1922,((p∨t)s)⊢(p∨s),(s∨p)s((∨∨))))
1923,((p∧t)(¬r))⊢t,(s∧q)(¬p)t
1924,(((r→t)∧r)s)⊢(r∨s),((t→t)∧t)s((∨∨)))
1925,(r(s→s))⊢(r→(q∨r)),t(s→p)(t∨p)(q→(q∨q))
