Iterations,input,output
4040,(t((r∨t)∧p))⊢(t∨p),t((r∨t)∧p)(t∨∨))
4041,(r((s→r)∧s))⊢(((s→r)∧s)∧(r∧((s→r)∧s))),r((s→r)∧s)(r∧((s→r)∧s))(((s→r)∧s)∧(r∧((s→r)∧s)))
4042,(q(q∧q))⊢(q→(q∨t)),q(q∧q)(q∨t)(q→(q∨t))
4043,(r((r∨r)→r))⊢(r∨p),r((r∨r)→r)(r∨((r∨r)→r))(r∨p)
4044,((r→q)t)⊢((r→q)→((r→q)∨r)),(r→q)t((r→q)∨r)((r→q)→((r→q)∨r))
4045,((r∧q)(t∨r))⊢((r∧q)∧q),(r∧q)(t∨r)q((r∧q)∧q)
4046,(t(q∧s))⊢(q∧s),t(q∧s)s(q∧q)
4047,((q∧q)t)⊢(p∨(q∧q)),(q∧q)t((q∧q)∧t)(p∨(q∧q))
4048,(s(s∧(s∧p)))⊢p,s(s∧(s∧p))(s∧p)p
4049,(t(q∧t))⊢t,t(q∧t)(t∧(q∧t))t
4050,((t∧t)(r∧s))⊢(r∨(t∧t)),(t∧t)(r∧s)((r(t∧∨))(r∨(t∧t))
4051,(((q∧p)∧s)s)⊢(((q∧p)∧s)→(q∧p)),((q∧p)∧s)s(q∧p)(((q∧p)∧s)→(q∧p))
4052,(s(p∨(t∨s)))⊢(s∨t),s(p∨(t∨s))(s∨(p∨(t∨s)))(s∨t)
4053,((q∧q)t)⊢(t∨t),(q∧q)tq(t∨t)
4054,((r∧t)p)⊢(p∧t),(r∧t)pt(p∧t)
4055,((p∨(r→s))s)⊢(t∨s),(p∨(r→s))s((p∨(r→s))∧s)(t∨s)
4056,((r∧q)(¬t))⊢((r∧q)→r),(r∧q)(¬t)r((r∧q)→r)
4057,(((r∨q)∧t)q)⊢(q∨s),((r∨q)∧t)q((∨∨)()
4058,(t(p∨s))⊢(t∨q),t(p∨s)(t∧(p∨s))(t∨q)
4059,(r((q∧q)∧s))⊢(q∨r),r((q∧q)∧s)(q∨∨)(
4060,((q∧q)(p∧t))⊢((q∧q)∧p),(q∧q)(p∧t)p((q∧q)∧p)
4061,(p(p∧q))⊢(p∨r),p(p∧q)((p∨r)
4062,((r∧r)t)⊢((r∧r)∨q),(r∧r)t((r∧r)∨t)((r∧r)∨q)
4063,((r→q)(r→t))⊢(t∨(r→t)),(r→q)(r→t)((r(r→∨))(t∨(r→t))
4064,(((¬s)∨r)((t→p)∨s))⊢(t∨((t→p)∨s)),((¬s)∨r)((t→p)∨s)(((¬()∨r)∨()ttt(((t→p∨∨s)t
4065,((q∧p)((s∨q)∨p))⊢((q∧p)∧p),(q∧p)((s∨q)∨p)p((q∧p)∧p)
4066,(t(p→p))⊢((p→p)∧((p→p)∨p)),t(p→p)((p→p)∨p)((p→p)∧((p→p)∨p))
4067,((t→q)p)⊢(s∨p),(t→q)p((t→q)∧p)(s∨p)
4068,(t((q∧r)∧p))⊢(t→((q∧r)∧p)),t((q∧r)∧p)(t→((q∧r)∧p))
4069,(p((p∧s)∧q))⊢((p∨t)∨r),p((p∧s)∧q)(p∨t)((p∨t)∨r)
4070,(((p∧q)∨r)q)⊢(q∨r),((p∧q)∨r)q(((p∧q)∨r)∧q)(q∨r)
4071,((¬p)((¬p)→p))⊢((¬p)→((¬p)→p)),(¬p)((¬p)→p)((¬p)→(p¬p)→p))→
4072,((t→t)(s→p))⊢((t→t)→((t→t)∨s)),(t→t)(s→p)((t→t)∨s)((t→t)→((t→t)∨s))
4073,((¬q)(r→q))⊢(s∨((r→q)∨s)),(¬q)(r→q)((r→q)∨s)(s∨((r→q)∨s))
4074,((r→r)p)⊢(q∨(r→r)),(r→r)p((r→r)rp)(q∨(r→r))
4075,((t∨q)s)⊢((t∨q)∨p),(t∨q)s((t∨)((t∨q)∨p)
4076,(s(t→r))⊢(s→(s∧(t→r))),s(t→r)(s∧(t→r))(s→(s∧(t→r)))
4077,((¬s)(s∧q))⊢(s∨(¬s)),(¬s)(s∧q)((s((ss))((¬ss)
4078,((t∨(p∧q))(s∧r))⊢(r∨q),(t∨(p∧q))(s∧r)r(r∨q)
4079,((r∨(r∨p))(¬s))⊢(p∨(¬s)),(r∨(r∨p))(¬s)((r((r∨))p∧(¬s))(p∨(¬s))
4080,((s→r)s)⊢((s→r)∧s),(s→r)s((s→r)∧s)
4081,((s→p)(¬p))⊢((s→p)∨s),(s→p)(¬p)((s→p)∨))((→→p)∨s)
4082,((q∨q)p)⊢(p∨(p∨t)),(q∨q)p(p∨t)(p∨(p∨t))
4083,(r((¬s)∧p))⊢((¬s)∧p),r((¬s)∧p)(r∧((¬s)∧p))((¬s)∧p)
4084,((p→t)(t∧(r∧s)))⊢((p→t)∨s),(p→t)(t∧(r∧s))((p→t)∨s)((p→t)s)
4085,((r∧p)q)⊢(s∨(r∧p)),(r∧p)q((r∧p)∧q)(s∨(r∧p))
4086,((s→(s∨t))((p∧r)∨q))⊢(((p∧r)∨q)∨r),(s→(s∨t))((p∧r)∨q)(((→∧r)∨))∨))(((p∧r)∨q)∨r)
4087,(r(q→r))⊢(r→(q→r)),r(q→r)(r→(q→r))
4088,(q(t∨r))⊢((t∨r)→((t∨r)∨p)),q(t∨r)((t∨r)∨p)((t∨r)→((t∨r)∨p))
4089,((r∧q)(s∨r))⊢((s∨r)→r),(r∧q)(s∨r)r((s∨r)→r)
4090,((s∨t)q)⊢(t∨(s∨t)),(s∨t)q(q∨t)(t∨(s∨t))
4091,(p(t→s))⊢(t→s),p(t→s)(p∧(t→s))(t→s)
4092,((t∧q)(¬q))⊢((t∧q)→q),(t∧q)(¬q)q((t∧q)→q)
4093,((r→(p∨p))p)⊢(p∨p),(r→(p∨p))p((r→(p∨p))∧p)(p∨p)
4094,(p(q→s))⊢(s∨(q→s)),p(q→s)(p∨(q→s))(s∨(q→s))
4095,(t(q→q))⊢((q→q)→(p∨(q→q))),t(q→q)(p∨(q→q))((q→q)→(p∨(q→q)))
4096,((q∨s)(p∨p))⊢(r∨(p∨p)),(q∨s)(p∨p)((∨(p∨∨))(r∨(p∨p))
4097,(((s→q)∨s)(t∧q))⊢((t∧q)→(((s→q)∨s)∧(t∧q))),((s→q)∨s)(t∧q)(((s→q)∨s)∧(t∧q))((t∧q)→(((s→q)∨s)∧(t∧q)))
4098,((s→t)(p∨r))⊢((s→t)→(p∨r)),(s→t)(p∨r)((s→t)→(p∨r))
4099,(((t→t)∧q)(t→t))⊢(((t→t)∧q)∧q),((t→t)∧q)(t→t)q(((t→t)∧q)∧q)
4100,(t((r→s)∧r))⊢(r∨t),t((r→s)∧r)((∨∨)(
4101,(s(r∧s))⊢((r∧s)→((r∧s)∨p)),s(r∧s)((r∧s)∨p)((r∧s)→((r∧s)∨p))
4102,((t∧s)(¬p))⊢(r∨(t∧s)),(t∧s)(¬p)((∨((∧∧))(r((s))
4103,((s∧r)(p∨r))⊢(((p∨r)∨s)∨q),(s∧r)(p∨r)((p∨r)∨s)(((p∨r)∨s)∨q)
4104,((p→p)p)⊢(s∨(s∨(p→p))),(p→p)p(s∨(p→p))(s∨(s∨(p→p)))
4105,(((r∧s)∨t)r)⊢(p∨r),((r∧s)∨t)r(((r∧s)∨t)∧r)(p∨r)
4106,(q(s∧(s∨s)))⊢s,q(s∧(s∨s))(q∧(s∧(s∨s)))s
4107,((t∧q)(r∧r))⊢(r∨(t∧q)),(t∧q)(r∧r)((r(r)∨))(r∨(t∧q))
4108,(((s→r)∧q)s)⊢(t∨(s∨s)),((s→r)∧q)s(s∨s)(t∨(s∨s))
4109,(t((¬t)∧r))⊢((q∨t)∨p),t((¬t)∧r)(q∨t)((q∨t)∨p)
4110,((q∨r)s)⊢(q∨r),(q∨r)s((q∨r)∧s)(q∨r)
4111,((p∧t)q)⊢((p∧t)→q),(p∧t)qp((p∧t)→q)
4112,(s(p∧s))⊢(s∧(r∨s)),s(p∧s)(r∨s)(s∧(r∨s))
4113,((r→t)r)⊢(p∨(r→t)),(r→t)r((r→t)∧r)(p∨(r→t))
4114,(q(t→r))⊢(q∧(q∨r)),q(t→r)(q∨r)(q∧(q∨r))
4115,(q(s∨(¬q)))⊢(q∨r),q(s∨(¬q))(q∨(s∨(¬q)))(q∨r)
4116,(s((r∨r)∧s))⊢((s∨r)∨q),s((r∨r)∧s)(s∨r)((s∨r)∨q)
4117,(((p→r)→r)s)⊢(s∨r),((p→r)→r)s(((p→r)→r)∧s)(s∨r)
4118,(p(r∨s))⊢((r∨s)→(p→(r∨s))),p(r∨s)(p→(r∨s))((r∨s)→(p→(r∨s)))
4119,((p→r)((r→t)∧r))⊢(s∨((p→r)∨s)),(p→r)((r→t)∧r)((p→r)∨s)(s∨((p→r)∨s))
4120,((¬p)(p→p))⊢((¬p)∨s),(¬p)(p→p)((¬p)∨p)((¬pp)s))
4121,((r∧(p∨q))s)⊢(r∨p),(r∧(p∨q))sr(r∨))
4122,(((p→r)∧q)(r∧p))⊢((r∧p)∧q),((p→r)∧q)(r∧p)q((r∧p)∧q)
4123,((¬r)(p∨t))⊢(r∨(p∨t)),(¬r)(p∨t)((∨(p∨t))(r((p∨t))
4124,(((s∧p)∧p)q)⊢(((s∧p)∧p)→q),((s∧p)∧p)qp(((s∧p)∧p)→q)
4125,(q(r→p))⊢(t∨(r→p)),q(r→p)(q∨(r→p))(t∨(r→p))
4126,(((q→r)→q)s)⊢(s∨s),((q→r)→q)s(((q→r)→q)∧s)(s∨s)
4127,(((s∧p)∧p)q)⊢(q∨(q∨p)),((s∧p)∧p)q(q∨p)(q∨(q∨p))
4128,((¬s)((r→t)∧t))⊢(t∨(¬s)),(¬s)((r→t)∧t)((∨()s))(t∨(¬s))
4129,((p∧q)s)⊢(p∨s),(p∧q)s((p∨s)
4130,((t∧s)p)⊢((r∨p)∨s),(t∧s)p(r∨p)((r∨p)∨s)
4131,((r→(t∨p))s)⊢(s→(r∨s)),(r→(t∨p))s(r∨s)(s→(r∨s))
4132,(((¬r)∧s)s)⊢(s∨s),((¬r)∧s)ss(sss)
4133,(((s∧p)∨q)t)⊢(q∨(t∨r)),((s∧p)∨q)t(t∨r)(q∨(t∨r))
4134,((r∧p)(¬t))⊢((¬t)∧((¬t)∨s)),(r∧p)(¬t)((¬t)∨s)((¬t)∧((¬t)∨s))
4135,((t∨(s∧r))p)⊢((t∨(s∧r))∨p),(t∨(s∧r))p((t∨(s∧r))∨p)((t∨(s∧r))∨p)
4136,(q(s∨t))⊢((s∨t)∨q),q(s∨t)(q∨∨)((s∨t)∨q)
4137,((p∧p)q)⊢(p∨q),(p∧p)qp(p∨q)
4138,(p(p∨t))⊢(q∨p),p(p∨t)(p∨(p∨t))(q∨p)
4139,(p(s∧t))⊢(r∨p),p(s∧t)s(r∨p)
4140,(p(q∨p))⊢(p∨t),p(q∨p)(p∨(q∨p))(p∨t)
4141,((r∧t)p)⊢((r∧t)∧r),(r∧t)pr((r∧t)∧r)
4142,((s∧p)q)⊢(q∧s),(s∧p)qs(q∧s)
4143,((r∨(s→t))s)⊢s,(r∨(s→t))s((r∨(s→t))∧s)s
4144,(t(s∧s))⊢((s∧s)→s),t(s∧s)s((s∧s)→s)
4145,(s(¬t))⊢((¬t)∨s),s(¬t)((¬t)ts)((¬t)∨s)
4146,(q(r∧r))⊢(t∨q),q(r∧r)r(t∨q)
4147,(p((s∨r)∧r))⊢(p→(p∨p)),p((s∨r)∧r)(p∨p)(p→(p∨p))
4148,((q→r)(¬r))⊢(q∨(q→r)),(q→r)(¬r)((∨(r→r))(q((qrr))
4149,((s∧r)t)⊢((s∧r)∧t),(s∧r)ts((s∧r)∧t)
4150,((p∧r)(¬s))⊢(p∨(p∧r)),(p∧r)(¬s)((p(rpr))(p((pr))
4151,((¬s)(q∧p))⊢((¬s)∨r),(¬s)(q∧p)((¬s)∨∨))(¬s)
4152,(p(q∧r))⊢(p∨p),p(q∧r)((p∨p)
4153,(p(s∧t))⊢(q∨p),p(s∧t)s(q∨p)
4154,((p∨(p→q))(t∧q))⊢((t∧q)∧t),(p∨(p→q))(t∧q)t((t∧q)∧t)
4155,(((q∨r)∨t)q)⊢((q∨p)∨s),((q∨r)∨t)q(q∨p)((q∨p)∨s)
4156,((r→r)s)⊢(p∨(r→r)),(r→r)s((r→r)rs)(p∨(r→r))
4157,(((r→r)→r)(r→(r∧r)))⊢(((r→r)→r)∧(r→(r∧r))),((r→r)→r)(r→(r∧r))(((r→r)→r)∧(r→(r∧r)))
4158,((q∨t)((¬q)∨q))⊢((q∨t)→((q∨t)∨q)),(q∨t)((¬q)∨q)((q∨t)∨q)((q∨t)→((q∨t)∨q))
4159,((p→(¬t))(¬t))⊢((p→(¬t))∨r),(p→(¬t))(¬t)((p→(¬t))∨r)((p→(∨r)
4160,(t(t∧(r∨s)))⊢(t→(t∨p)),t(t∧(r∨s))(t∨p)(t→(t∨p))
4161,((t∧t)(r∧s))⊢(r∧s),(t∧t)(r∧s)((t∧t)∧(r∧s))(r∧s)
4162,(((t→r)∧r)q)⊢(q→(t→r)),((t→r)∧r)q(t→r)(q→(t→r))
4163,((s∧s)s)⊢((s∧s)→(s∨(s∧s))),(s∧s)s(s∨(s∧s))((s∧s)→(s∨(s∧s)))
4164,((r→q)((¬t)→s))⊢((r→q)∨r),(r→q)((¬t)→s)((r→q)∨))(()→q)→r)r
4165,((s∨(t→t))s)⊢(s∨t),(s∨(t→t))s((s∨(t→t))→s)(s∨t)
4166,(((p∨t)∨s)q)⊢((q∨s)∨t),((p∨t)∨s)q(q∨s)((q∨s)∨t)
4167,(((t→r)∧r)q)⊢(r∨q),((t→r)∧r)q((rq)))
4168,((t∨(r∧q))q)⊢(p∨q),(t∨(r∧q))q((t∨(r∧q))∧q)(p∨q)
4169,(r((r∨r)→r))⊢(r→((r∨r)→r)),r((r∨r)→r)(r→((r∨r)→r))
4170,(r((t∨r)→r))⊢(((t∨r)→r)∨t),r((t∨r)→r)(r∨((t∨r)→r))(((t∨r)→r)∨t)
4171,((¬s)(p∧t))⊢(s∨(¬s)),(¬s)(p∧t)((s((ss))((¬ss)
4172,((s∧t)t)⊢(t∧t),(s∧t)tt(t∧t)
4173,(r(q∧t))⊢(r∨r),r(q∧t)((r∨r)
4174,((q→r)(q∧(q→q)))⊢((q→r)∨r),(q→r)(q∧(q→q))((→→)((q→r)∨→
4175,(((q∨t)∨t)p)⊢(p∨s),((q∨t)∨t)p(((q∨t)∨t)∧p)(p∨s)
4176,((s∧(q→q))((¬q)∧p))⊢(q∨(¬q)),(s∧(q→q))((¬q)∧p)(¬q)(q∨(¬¬))
4177,((r→(r∧r))t)⊢(r∨(t∨r)),(r→(r∧r))t(t∨r)(r∨(t∨r))
4178,((s∨q)((¬r)→s))⊢(((¬r)→s)∨r),(s∨q)((¬r)→s)((s∨r)→s)¬r)→((¬r)→¬r)rs
4179,(t(t∧(t→r)))⊢(t∧t),t(t∧(t→r))t(t∧t)
4180,(((s→p)∨r)r)⊢(((s→p)∨r)∨s),((s→p)∨r)r(((s→p)∨r)∨r)(((s→p)∨r)∨s)
4181,((s→s)p)⊢((s→s)→(p∨s)),(s→s)p(p∨s)((s→s)→(p∨s))
4182,(((¬s)∧q)t)⊢(t∧(t∨s)),((¬s)∧q)t(t∨s)(t∧(t∨s))
4183,(p(¬q))⊢(p→(¬q)),p(¬q)(p→(¬q))
4184,((r∨p)(p∨(r∧p)))⊢((r∨p)∧(t∨(r∨p))),(r∨p)(p∨(r∧p))(t∨(r∨p))((r∨p)∧(t∨(r∨p)))
4185,((r→r)(t∧s))⊢(p∨(r→r)),(r→r)(t∧s)((r(r)∨))(p∨(r→r))
4186,((¬q)(t∧p))⊢((¬q)∧((¬q)→(t∧p))),(¬q)(t∧p)((¬q)→(t∧p))((¬q)∧((¬q)→(t∧p)))
4187,(((t→r)∨q)q)⊢(t∨q),((t→r)∨q)q(((t→r)∨q)∧q)(t∨q)
4188,(p(q∨q))⊢(q∨p),p(q∨q)(p∨(q∨q))(q∨p)
4189,(r((t∧q)→s))⊢(q∨(r∨p)),r((t∧q)→s)(r∨p)(q∨(r∨p))
4190,(s(p∨r))⊢(r∨s),s(p∨r)(s∨(p∨r))(r∨s)
4191,((t∨(r∧q))q)⊢((t∨(r∧q))∧q),(t∨(r∧q))q((t∨(r∧q))∧q)
4192,((t∧q)r)⊢(p∨r),(t∧q)r((p∨r)
4193,((¬t)(p∧q))⊢((¬t)∧p),(¬t)(p∧q)p((¬t)∧p)
4194,((q∨p)(¬p))⊢((¬p)→((¬p)∨r)),(q∨p)(¬p)((¬p)∨r)((¬p)→((¬p)∨r))
4195,(((s→s)∧q)(r∨s))⊢((r∨s)∨p),((s→s)∧q)(r∨s)((rss)∨p)((r∨s)∨p)
4196,(((s∨t)∧p)(p∧q))⊢(((s∨t)∧p)∧p),((s∨t)∧p)(p∧q)p(((s∨t)∧p)∧p)
4197,(((p∨q)∨p)(s∧t))⊢(t∨r),((p∨q)∨p)(s∧t)t(t∨r)
4198,((t→s)(p∨q))⊢((p∨q)→((p∨q)∨r)),(t→s)(p∨q)((p∨q)∨r)((p∨q)→((p∨q)∨r))
4199,(p(t→s))⊢(p→(q∨p)),p(t→s)(q∨p)(p→(q∨p))
4200,(t((r∨r)∨r))⊢(p∨t),t((r∨r)∨r)(t∨((r∨r)∨r))(p∨t)
4201,((p∧p)s)⊢((p∧p)→((p∧p)∨s)),(p∧p)s((p∧p)∨s)((p∧p)→((p∧p)∨s))
4202,((t→(q∧t))((s∨t)∧p))⊢((t→(q∧t))∨p),(t→(q∧t))((s∨t)∧p)((t→(q∧t))∨))((t→(q∧t))∨p)
4203,(s((t→s)∧p))⊢(s∧((t→s)∧p)),s((t→s)∧p)(s∧((t→s)∧p))
4204,(((r∨p)→r)q)⊢(((r∨p)→r)∧(t∨((r∨p)→r))),((r∨p)→r)q(t∨((r∨p)→r))(((r∨p)→r)∧(t∨((r∨p)→r)))
4205,((r∧(p→q))s)⊢(s→r),(r∧(p→q))sr(s→r)
4206,((t→(¬q))s)⊢(q∨(t→(¬q))),(t→(¬q))s((t→(¬q))→s)(q∨(t→(¬q)))
4207,((q∨p)(¬p))⊢((q∨p)∨s),(q∨p)(¬p)((q∨p)∨))((∨∨p)∨s)
4208,(p((s∨r)∨p))⊢(p∧(p∨t)),p((s∨r)∨p)(p∨t)(p∧(p∨t))
4209,((p→(r∨t))(q∨s))⊢(q∨(p→(r∨t))),(p→(r∨t))(q∨s)((∨→(r∨r)(q∨(p→(r∨t)))
4210,((p→r)(t∨t))⊢((p→r)∨r),(p→r)(t∨t)((p→r)∨))((p→r)∨r)
4211,(q((¬t)→t))⊢(q∨s),q((¬t)→t)(q∨((¬t)→t))(q∨s)
4212,((s→p)(s∧(¬q)))⊢(s∨s),(s→p)(s∧(¬q))s(s∨s)
4213,(q((s∧s)→q))⊢((s∧s)→q),q((s∧s)→q)(q∧((s∧s)→q))((s∧s)→q)
4214,((s→r)(q∧q))⊢(s∨(s→r)),(s→r)(q∧q)((s(r)r))(s∨(s→r))
4215,((¬s)(p∧(r∨r)))⊢((¬s)∨p),(¬s)(p∧(r∨r))((¬s)∨p)(()
4216,((¬p)(q∨(t∨t)))⊢(r∨(¬p)),(¬p)(q∨(t∨t))((¬p)p()(rt∨¬p))(r(¬p)
4217,((s∧q)(¬p))⊢((s∧q)∨q),(s∧q)(¬p)(((∧∧q)∨))(
4218,((¬s)(p∧(¬s)))⊢((¬s)∨p),(¬s)(p∧(¬s))((¬s)∨p)((¬s)∨p)
4219,(t((r→p)∧t))⊢(t→((r→p)∧t)),t((r→p)∧t)(t→((r→p)∧t))
4220,((p∧t)q)⊢(q∧p),(p∧t)qp(q∧p)
4221,(((p∨q)→q)(q∧s))⊢(p∨(q∧s)),((p∨q)→q)(q∧s)((p((qss)))
4222,((t→t)(q∨(¬s)))⊢((t→t)∨s),(t→t)(q∨(¬s))((t→t)∨(q((¬st)→((t→t
4223,(((t∧q)∨r)(¬s))⊢(p∨(r∨(¬s))),((t∧q)∨r)(¬s)(r∨(¬s))(p∨(r∨(¬s)))
4224,(((s∧p)∧q)p)⊢(r∨p),((s∧p)∧q)p((∨p))
4225,((s∧p)(s∨s))⊢((s∨s)→((s∨s)∨s)),(s∧p)(s∨s)((s∨s)∨s)((s∨s)→((s∨s)∨s))
4226,((s→s)t)⊢((s→s)→(p∨(s→s))),(s→s)t(p∨(s→s))((s→s)→(p∨(s→s)))
4227,(s(t∧s))⊢(r∨(s∨s)),s(t∧s)(s∨s)(r∨(s∨s))
4228,((s∨q)(¬q))⊢(p∨(¬q)),(s∨q)(¬q)((s(q)))((p((¬q))
4229,((r∧p)r)⊢((r∨p)∨t),(r∧p)r(r∨p)((r∨p)∨t)
4230,(p((q∨t)∨s))⊢((t∨p)∨p),p((q∨t)∨s)(t∨p)((t∨p)∨p)
4231,((¬p)((¬p)→p))⊢(t∨((¬p)→p)),(¬p)((¬p)→p)((¬((pp)(t∨((¬p(→p))
4232,(((s∨p)∨q)(¬s))⊢(t∨(¬s)),((s∨p)∨q)(¬s)(((s∨p))q)∧(¬s))(t∨(¬s))
4233,((r→r)((r∨r)→r))⊢((r→r)∧((r∨r)→r)),(r→r)((r∨r)→r)((r→r)∨((r∨r)→r))))
4234,((p→p)(r∨s))⊢(r∨(r∨s)),(p→p)(r∨s)((∨(r)∨))(r∨(r∨s))
4235,(s(t∨(t∨t)))⊢(s∧(t∨(t∨t))),s(t∨(t∨t))(s∧(t∨(t∨t)))
4236,((s∨s)(¬t))⊢((r∨(¬t))∨q),(s∨s)(¬t)(r∨(¬t))((r∨(¬t))∨q)
4237,(r((s∧p)∧p))⊢(s∨r),r((s∧p)∧p)(s∨∨))
4238,(s(t∧s))⊢((s∨s)∨p),s(t∧s)(s∨s)((s∨s)∨p)
4239,((r→t)r)⊢(r→((r→t)∧r)),(r→t)r((r→t)∧r)(r→((r→t)∧r))
4240,(p(p→(q∧r)))⊢(p→(p∨s)),p(p→(q∧r))(p∨s)(p→(p∨s))
4241,((p→(¬s))t)⊢(t∧(t∨r)),(p→(¬s))t(t∨r)(t∧(t∨r))
4242,(r(p∧t))⊢(t∨r),r(p∧t)((t∨r)
4243,((p∧(t∧s))(s∧q))⊢(p∨(t∧s)),(p∧(t∧s))(s∧q)((p∨(t∧s))
4244,(q((t→r)→q))⊢q,q((t→r)→q)(q∧((t→r)→q))q
4245,((p→s)r)⊢((r∨r)∨r),(p→s)r(r∨r)((r∨r)∨r)
4246,((p∨s)s)⊢((p∨s)∨p),(p∨s)s((p∨)((p∨s)∨p)
4247,((t→s)(t∧t))⊢(q∨(t∧t)),(t→s)(t∧t)((t(t)∨))(q∨(t∧t))
4248,(((t∧r)∨p)r)⊢(((t∧r)∨p)∧r),((t∧r)∨p)r(((t∧r)∨p)∧r)
4249,(p(s∧q))⊢((q∨p)∨t),p(s∧q)(q∨p)((q∨p)∨t)
4250,(t(r→q))⊢((r→q)∨p),t(r→q)(t∨(r→q))((r→q)∨p)
4251,((r→t)(r∧s))⊢((r∧s)∧(s∨(r∧s))),(r→t)(r∧s)(s∨(r∧s))((r∧s)∧(s∨(r∧s)))
4252,(p(q→s))⊢(r∨(q→s)),p(q→s)(p∨(q→s))(r∨(q→s))
4253,(q((r∧p)∨p))⊢(q∧(q∨t)),q((r∧p)∨p)(q∨t)(q∧(q∨t))
4254,(s((p→q)→r))⊢(r∨(r∨s)),s((p→q)→r)(r∨s)(r∨(r∨s))
4255,(((q→q)∧p)(q∨r))⊢((q∨r)→p),((q→q)∧p)(q∨r)p((q∨r)→p)
4256,((r→t)r)⊢(r∨s),(r→t)r((r→t)∧r)(r∨s)
4257,((r→(p∧p))t)⊢((r→(p∧p))∧t),(r→(p∧p))t((r→(p∧p))∧t)
4258,(q((s∧s)→q))⊢(q∧((s∧s)→q)),q((s∧s)→q)(q∧((s∧s)→q))
4259,((q∧t)t)⊢(t∨(p∨(q∧t))),(q∧t)t(p∨(q∧t))(t∨(p∨(q∧t)))
4260,(p(r∧(s∨q)))⊢(p∨s),p(r∧(s∨q))((∨∨))
4261,(((s∨p)∧t)(q∧(s→t)))⊢(q∨(s→t)),((s∨p)∧t)(q∧(s→t))(s→t)(q∨(s→t))
4262,((r∧q)(q∨r))⊢(((q∨r)∨t)∨s),(r∧q)(q∨r)((q∨r)∨t)(((q∨r)∨t)∨s)
4263,(q((¬t)→t))⊢((¬t)→t),q((¬t)→t)(q∧((¬t)→t))((¬t)→t)
4264,(p(r∧p))⊢((r∧p)→((r∧p)∨q)),p(r∧p)((r∧p)∨q)((r∧p)→((r∧p)∨q))
4265,(t(s∨(s∨q)))⊢(s∨(s∨(s∨q))),t(s∨(s∨q))(t∨(s∨(s∨q)))(s∨(s∨(s∨q)))
4266,(((p→r)∧q)(r∧p))⊢((q∨(r∧p))∨s),((p→r)∧q)(r∧p)(q∨(r∧p))((q∨(r∧p))∨s)
4267,((p→s)p)⊢(p∧(p∨q)),(p→s)p(p∨q)(p∧(p∨q))
4268,((p∧r)((q∨t)∧t))⊢((p∧r)∧t),(p∧r)((q∨t)∧t)t((p∧r)∧t)
4269,(t(t∨(s∧r)))⊢((t∨(s∧r))∨s),t(t∨(s∧r))(t∧(t∨(s∧r)))((t∨(s∧r))∨s)
4270,((r→(r∨q))s)⊢(r→(r∨q)),(r→(r∨q))s(r∨q)(r→(r∨q))
4271,(s(r∨s))⊢((r∨s)∧((r∨s)∨p)),s(r∨s)((r∨s)∨p)((r∨s)∧((r∨s)∨p))
4272,(s(r∨p))⊢(s→(s∧(r∨p))),s(r∨p)(s∧(r∨p))(s→(s∧(r∨p)))
4273,(t(t∧q))⊢(s∨t),t(t∧q)t(s∨t)
4274,(((r∧t)∨s)(r∧q))⊢((r∧q)∨r),((r∧t)∨s)(r∧q)(((r∧))∨s)(r∧q))r
4275,((t∨s)(t∧s))⊢((t∨s)∧(t∧s)),(t∨s)(t∧s)((t∨s)∧(t∧s))
4276,(q(t∧t))⊢(t∨q),q(t∧t)t(t∨q)
4277,(r(r∨(q∨s)))⊢(r∨(s∨r)),r(r∨(q∨s))(s∨r)(r∨(s∨r))
4278,((t∧q)(¬q))⊢((t∧q)→t),(t∧q)(¬q)t((t∧q)→t)
4279,(((p∨r)∧t)q)⊢(q∨t),((p∨r)∧t)q((∨∨))t)
4280,(q(p∧t))⊢(p∨t),q(p∧t)((p∨t)
4281,(q((s→r)∨p))⊢((s→r)∨p),q((s→r)∨p)(q∧((s→r)∨p))((s→r)∨p)
4282,((t→t)r)⊢((t→t)∨t),(t→t)r((t→t)∨t)((t→t)∨t)
4283,(r(s∧p))⊢(r∧(s∨r)),r(s∧p)(s∨r)(r∧(s∨r))
4284,(p(s∧p))⊢((s∧p)∨p),p(s∧p)(p∨(s∧p))((s∧p)∨p)
4285,(s(s∧p))⊢((s∧(s∧p))∨q),s(s∧p)(s∧(s∧p))((s∧(s∧p))∨q)
4286,(s(p∧(t→s)))⊢(s∧(p∧(t→s))),s(p∧(t→s))(s∧(p∧(t→s)))
4287,((q∧p)r)⊢(p∨p),(q∧p)rp(p∨p)
4288,(s(t→(¬q)))⊢(s∨t),s(t→(¬q))(s∨(t→(¬q)))(s∨t)
4289,(q((s∧p)∧q))⊢(q→((s∧p)∧q)),q((s∧p)∧q)(q→((s∧p)∧q))
4290,((r∧(q→q))((r→s)∧r))⊢(t∨((r→s)∧r)),(r∧(q→q))((r→s)∧r)((∨((r→q))r))(t∨((r→s)∧r))
4291,(p((t∧q)→s))⊢((p∨q)∨q),p((t∧q)→s)(p∨q)((p∨q)∨q)
4292,((p∨(¬r))(r∧p))⊢((r∧p)→r),(p∨(¬r))(r∧p)r((r∧p)→r)
4293,((q∨(¬q))p)⊢(p∧(p∨p)),(q∨(¬q))p(p∨p)(p∧(p∨p))
